Num_Threads,Time_Taken(seconds),Num_Iterations
1, 1.00927240000000000000, 1000
1, 1.96344740000000000000, 2000
1, 3.84302940000000000000, 4000
1, 5.63767160000000000000, 6000
1, 7.36872920000000000000, 8000
1, 9.17045440000000000000, 10000
2, .53767140000000000000, 1000
2, 1.01785740000000000000, 2000
2, 1.97861240000000000000, 4000
2, 2.93499160000000000000, 6000
2, 3.87800900000000000000, 8000
2, 4.82696920000000000000, 10000
4, .28426900000000000000, 1000
4, .53945840000000000000, 2000
4, 1.03094780000000000000, 4000
4, 1.52792980000000000000, 6000
4, 2.02469500000000000000, 8000
4, 2.50307020000000000000, 10000
8, .15773680000000000000, 1000
8, .28881600000000000000, 2000
8, .54713080000000000000, 4000
8, .81274660000000000000, 6000
8, 1.05265880000000000000, 8000
8, 1.30013480000000000000, 10000
16, .09871800000000000000, 1000
16, .17620320000000000000, 2000
16, .32894560000000000000, 4000
16, .48789840000000000000, 6000
16, .64254040000000000000, 8000
16, .79299380000000000000, 10000
